720.277778,590.333333
720.027778,589.750000
719.611111,589.250000
719.027778,588.805556
718.194444,588.361111
717.111111,587.861111
715.777778,587.305556
714.250000,586.583333
712.500000,585.722222
710.527778,584.722222
708.361111,583.611111
706.000000,582.388889
703.416667,581.027778
700.611111,579.583333
697.638889,578.027778
694.472222,576.361111
691.111111,574.555556
687.555556,572.611111
683.861111,570.527778
680.055556,568.277778
676.111111,565.861111
672.083333,563.305556
668.000000,560.611111
663.888889,557.805556
659.722222,554.916667
655.500000,551.972222
651.222222,548.972222
646.888889,545.916667
642.472222,542.833333
637.944444,539.694444
633.361111,536.500000
628.694444,533.222222
623.972222,529.916667
619.194444,526.555556
614.388889,523.138889
609.555556,519.694444
604.638889,516.194444
599.638889,512.666667
594.527778,509.055556
589.305556,505.388889
583.944444,501.638889
578.472222,497.805556
572.861111,493.888889
567.083333,489.833333
561.083333,485.611111
554.750000,481.166667
548.055556,476.500000
541.027778,471.611111
533.805556,466.583333
526.555556,461.555556
519.500000,456.666667
512.833333,452.027778
506.666667,447.666667
500.944444,443.555556
495.527778,439.583333
490.250000,435.611111
484.888889,431.500000
479.361111,427.166667
473.611111,422.611111
467.666667,417.861111
461.583333,412.972222
455.416667,408.000000
449.277778,403.027778
443.194444,398.083333
437.194444,393.166667
431.305556,388.305556
425.555556,383.500000
420.000000,378.777778
414.666667,374.111111
409.555556,369.527778
404.694444,365.055556
400.083333,360.666667
395.750000,356.388889
391.666667,352.194444
387.833333,348.111111
384.277778,344.138889
380.972222,340.277778
377.944444,336.555556
375.194444,332.972222
372.750000,329.555556
370.583333,326.277778
368.666667,323.111111
367.000000,320.055556
365.583333,317.083333
364.361111,314.166667
363.305556,311.305556
362.388889,308.500000
361.611111,305.777778
360.972222,303.111111
360.416667,300.500000
359.972222,297.972222
359.611111,295.500000
359.361111,293.111111
359.194444,290.750000
359.083333,288.416667
359.055556,286.138889
359.083333,283.888889
359.194444,281.666667
359.388889,279.416667
359.694444,277.194444
360.138889,275.000000
360.722222,272.805556
361.472222,270.638889
362.388889,268.500000
363.444444,266.472222
364.638889,264.555556
365.944444,262.777778
367.333333,261.194444
368.777778,259.777778
370.250000,258.583333
371.750000,257.583333
373.250000,256.777778
374.750000,256.138889
376.222222,255.611111
377.666667,255.222222
379.083333,254.916667
380.472222,254.666667
381.805556,254.444444
383.083333,254.305556
384.333333,254.250000
385.555556,254.250000
386.750000,254.333333
387.916667,254.500000
389.083333,254.777778
390.250000,255.083333
391.444444,255.444444
392.694444,255.861111
393.972222,256.305556
395.305556,256.805556
396.722222,257.333333
398.277778,257.944444
399.944444,258.638889
401.694444,259.444444
403.611111,260.388889
405.694444,261.472222
407.916667,262.694444
410.222222,264.055556
412.611111,265.527778
415.111111,267.083333
417.638889,268.694444
420.166667,270.333333
422.694444,272.027778
425.194444,273.750000
427.666667,275.500000
430.055556,277.305556
432.388889,279.166667
434.638889,281.083333
436.805556,283.027778
438.916667,285.000000
440.944444,287.000000
442.916667,289.027778
444.805556,291.083333
446.638889,293.166667
448.388889,295.277778
450.027778,297.416667
451.583333,299.583333
453.027778,301.722222
454.388889,303.833333
455.638889,305.916667
456.777778,307.972222
457.833333,310.000000
458.805556,312.000000
459.694444,314.000000
460.500000,316.000000
461.222222,318.000000
461.888889,320.000000
462.472222,322.000000
462.972222,324.000000
463.388889,325.972222
463.694444,327.916667
463.916667,329.833333
464.027778,331.722222
464.055556,333.583333
463.916667,335.416667
463.666667,337.277778
463.277778,339.166667
462.722222,341.055556
462.027778,342.944444
461.138889,344.833333
460.166667,346.722222
459.027778,348.555556
457.777778,350.333333
456.444444,352.111111
455.000000,353.861111
453.500000,355.555556
451.888889,357.194444
450.250000,358.805556
448.583333,360.361111
446.861111,361.833333
445.111111,363.250000
443.333333,364.638889
441.555556,366.000000
439.722222,367.333333
437.833333,368.666667
435.888889,370.000000
433.888889,371.333333
431.833333,372.694444
429.694444,374.083333
427.500000,375.500000
425.222222,376.972222
422.888889,378.500000
420.500000,380.111111
418.027778,381.750000
415.527778,383.416667
412.972222,385.138889
410.416667,386.888889
407.888889,388.666667
405.361111,390.416667
402.888889,392.194444
400.416667,394.000000
398.000000,395.777778
395.611111,397.527778
393.194444,399.250000
390.805556,400.972222
388.388889,402.666667
386.000000,404.333333
383.583333,406.027778
381.138889,407.750000
378.722222,409.500000
376.277778,411.305556
373.861111,413.194444
371.416667,415.166667
369.000000,417.222222
366.611111,419.361111
364.194444,421.611111
361.805556,423.972222
359.416667,426.416667
357.083333,428.972222
354.777778,431.611111
352.500000,434.361111
350.305556,437.194444
348.166667,440.083333
346.083333,443.027778
344.055556,446.027778
342.083333,449.083333
340.194444,452.166667
338.388889,455.305556
336.694444,458.500000
335.166667,461.777778
333.777778,465.083333
332.583333,468.444444
331.583333,471.861111
330.777778,475.277778
330.166667,478.694444
329.722222,482.083333
329.500000,485.472222
329.472222,488.805556
329.638889,492.055556
330.027778,495.250000
330.638889,498.388889
331.472222,501.416667
332.500000,504.305556
333.722222,507.055556
335.138889,509.694444
336.694444,512.166667
338.388889,514.416667
340.194444,516.472222
342.083333,518.333333
344.055556,519.972222
346.083333,521.361111
348.194444,522.527778
350.388889,523.500000
352.666667,524.277778
355.055556,524.861111
357.527778,525.305556
360.083333,525.611111
362.694444,525.805556
365.333333,525.916667
368.027778,525.972222
370.750000,525.972222
373.500000,525.916667
376.333333,525.805556
379.250000,525.611111
382.250000,525.333333
385.305556,524.944444
388.444444,524.472222
391.666667,523.888889
394.916667,523.222222
398.194444,522.472222
401.527778,521.611111
